User: CLAUDIA,,,Path: C:\Program Files\BMG\OPTIMA\CLAUDIA\Data\,,,,,,,File Name: 346.dbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: YEAST GROWTH CURVE,,,,,,,,Date: 20/05/2011,,Time: 09:31:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: 110520 2uFLucs media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,Absorbance values are displayed as OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content,"Well
Row","Well
Col",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5
CONTAMINATION,A,1,0.226,0.2548,0.2232,0.2353,0.2297,0.2343,0.254,0.2648,0.2804,0.2983,0.3333,0.3736,0.4188,0.4819,0.5555,0.6418,0.7409,0.8465,0.9505,1.057,1.1631,1.2577,1.3484,1.4199,1.4801,1.5241,1.5261,1.5267,1.5244,1.5177,1.5197,1.5225,1.5247,1.523,1.5188,1.5236,1.5199,1.5188,1.518,1.5227,1.5208,1.5241,1.5197,1.5275,1.5269,1.5267,1.5236,1.5281,1.5323,1.5344
2u:max+Gluc,A,2,0.2223,0.1933,0.2325,0.2416,0.2613,0.2745,0.2642,0.2816,0.2874,0.2929,0.2984,0.311,0.3334,0.3613,0.3962,0.4373,0.4953,0.5634,0.6362,0.7194,0.8205,0.9217,1.0204,1.1187,1.2119,1.3014,1.3853,1.4538,1.5186,1.574,1.6149,1.6173,1.6142,1.6191,1.6194,1.6226,1.6226,1.6283,1.6272,1.6275,1.6283,1.6283,1.6365,1.6362,1.6315,1.6409,1.6402,1.6457,1.6491,1.6498
2u:max+YNB,A,3,0.2409,0.2295,0.2287,0.24,0.2619,0.2757,0.2802,0.2707,0.2945,0.3092,0.3198,0.3351,0.36,0.3968,0.4416,0.501,0.5688,0.6417,0.7278,0.8186,0.9135,1.0107,1.1043,1.1831,1.258,1.324,1.3837,1.4338,1.4881,1.5361,1.5756,1.6132,1.6468,1.6805,1.7122,1.7376,1.7568,1.7719,1.7824,1.7835,1.7814,1.7789,1.7799,1.7804,1.7794,1.783,1.7749,1.7784,1.7789,1.7744
2u:max+AA,A,4,0.2375,0.2272,0.2827,0.2725,0.2398,0.2549,0.2693,0.2803,0.2924,0.2969,0.3035,0.3193,0.345,0.3743,0.4166,0.4707,0.5301,0.5972,0.6832,0.7776,0.8791,0.9843,1.0931,1.1994,1.2874,1.3756,1.464,1.5253,1.5335,1.5416,1.5478,1.5487,1.5564,1.5583,1.5653,1.5662,1.5718,1.5759,1.5861,1.5894,1.5966,1.6057,1.6098,1.618,1.6258,1.629,1.6369,1.6428,1.6536,1.6585
2u:max+SC,A,5,0.2482,0.2249,0.2833,0.2995,0.2677,0.2567,0.2576,0.2713,0.2928,0.3012,0.3163,0.3337,0.359,0.3988,0.4419,0.4986,0.5643,0.645,0.7294,0.8247,0.9321,1.0407,1.1534,1.2675,1.3693,1.4652,1.5507,1.6006,1.604,1.6057,1.6091,1.6098,1.6163,1.6201,1.6247,1.6293,1.6315,1.6336,1.6351,1.6391,1.645,1.6532,1.657,1.6682,1.6678,1.6777,1.6886,1.6919,1.7023,1.7156
2u:max+NS,A,6,0.2457,0.2199,0.2287,0.2284,0.2396,0.2454,0.2532,0.2607,0.272,0.2837,0.2972,0.3214,0.3414,0.3668,0.4104,0.4599,0.5207,0.5818,0.6672,0.7581,0.8597,0.9643,1.0784,1.1941,1.3055,1.4077,1.5155,1.6236,1.7002,1.7794,1.8377,1.9023,1.9084,1.9043,1.9111,1.9173,1.9132,1.9166,1.9208,1.9194,1.9215,1.9264,1.9272,1.9264,1.9243,1.9264,1.9257,1.9293,1.9293,1.9307
2u:max+NS,B,1,0.2491,0.2258,0.24,0.2585,0.2848,0.2959,0.3045,0.2795,0.2975,0.3058,0.3271,0.3573,0.3862,0.4222,0.478,0.5451,0.6119,0.7018,0.7982,0.9051,1.0129,1.125,1.2275,1.3315,1.4208,1.4969,1.5672,1.6198,1.6261,1.6261,1.6268,1.6226,1.6272,1.629,1.6261,1.6304,1.6279,1.6293,1.6336,1.6315,1.6322,1.6286,1.6283,1.6315,1.6351,1.6351,1.6333,1.6329,1.6376,1.6354
2u:max+Gluc,B,2,0.2274,0.2227,0.2183,0.2215,0.2236,0.2496,0.2686,0.2876,0.2863,0.2961,0.2975,0.3139,0.3185,0.3456,0.3683,0.4147,0.4651,0.522,0.5913,0.6677,0.7578,0.8543,0.9466,1.0551,1.154,1.2454,1.3281,1.4049,1.4746,1.5318,1.5832,1.5871,1.5813,1.5836,1.5861,1.5887,1.5897,1.5904,1.5933,1.5956,1.5973,1.6003,1.5973,1.5983,1.6053,1.6013,1.6006,1.6064,1.6087,1.6084
2u:max+YNB,B,3,0.2343,0.2193,0.221,0.2419,0.2438,0.2695,0.2574,0.2621,0.2858,0.2906,0.3008,0.3152,0.3373,0.3472,0.3885,0.4231,0.4769,0.5396,0.6119,0.6913,0.7817,0.8689,0.972,1.063,1.1507,1.2305,1.3058,1.3703,1.4331,1.4858,1.5404,1.5829,1.6244,1.6627,1.7015,1.7312,1.7597,1.7881,1.8092,1.8297,1.8342,1.8377,1.836,1.8348,1.8412,1.8302,1.8412,1.8342,1.8365,1.8348
2u:max+AA,B,4,0.2272,0.2231,0.2174,0.22,0.229,0.2371,0.2381,0.2586,0.2622,0.2856,0.2921,0.3131,0.3323,0.3618,0.395,0.4402,0.5013,0.5635,0.6417,0.7334,0.8263,0.9287,1.0399,1.1463,1.2485,1.3395,1.4304,1.5158,1.5561,1.5687,1.5775,1.5756,1.5794,1.5878,1.5917,1.5953,1.6026,1.6081,1.6077,1.618,1.6212,1.6265,1.6406,1.6424,1.6551,1.6604,1.669,1.6678,1.6713,1.6809
2u:max+SC,B,5,0.2107,0.1951,0.2019,0.2088,0.2166,0.2347,0.2578,0.2499,0.2745,0.2883,0.2889,0.321,0.3304,0.3533,0.386,0.4304,0.4843,0.5448,0.6227,0.7018,0.7974,0.8969,0.999,1.109,1.2172,1.3288,1.434,1.5264,1.602,1.6336,1.6402,1.6358,1.6428,1.6483,1.6494,1.6555,1.6627,1.6651,1.6733,1.6765,1.6765,1.6785,1.6789,1.6998,1.7019,1.6994,1.7074,1.7122,1.7222,1.7389
2u:max+NS,B,6,0.2096,0.2031,0.2127,0.2309,0.2324,0.2394,0.2514,0.24,0.2554,0.2514,0.2743,0.2791,0.2963,0.3165,0.3551,0.3816,0.4216,0.4864,0.5391,0.622,0.6984,0.7905,0.895,1.0059,1.1106,1.2163,1.3237,1.427,1.518,1.603,1.6769,1.7362,1.7933,1.799,1.798,1.7974,1.8001,1.8038,1.8027,1.8081,1.8076,1.8081,1.8108,1.8076,1.8092,1.8114,1.8114,1.8157,1.8092,1.8124
2u:max+NS,C,1,0.2013,0.1976,0.1977,0.2106,0.2176,0.2208,0.2395,0.2507,0.2564,0.2614,0.2666,0.2844,0.3051,0.327,0.3588,0.3982,0.4466,0.5091,0.5791,0.6596,0.7544,0.8521,0.9567,1.0606,1.1539,1.2521,1.3381,1.4026,1.4711,1.5284,1.5561,1.5558,1.5564,1.5495,1.5586,1.5552,1.5537,1.5549,1.5534,1.5534,1.5561,1.5589,1.5589,1.5555,1.5507,1.5543,1.5546,1.5516,1.5564,1.5537
2u:max+Gluc,C,2,0.2139,0.1989,0.2006,0.2049,0.2075,0.2073,0.2092,0.2149,0.2253,0.2373,0.2434,0.2529,0.267,0.2808,0.2947,0.3143,0.331,0.3529,0.3762,0.4136,0.4587,0.5106,0.5743,0.6373,0.7059,0.7801,0.8612,0.9423,1.0182,1.0974,1.1685,1.2329,1.2944,1.3526,1.4135,1.4586,1.4991,1.5236,1.5312,1.5431,1.546,1.5493,1.5558,1.5638,1.5641,1.5747,1.581,1.5816,1.5826,1.594
2u:max+YNB,C,3,0.2395,0.2192,0.2351,0.2492,0.2477,0.2444,0.2549,0.2549,0.2725,0.2916,0.3104,0.2965,0.3132,0.3345,0.3535,0.3808,0.4095,0.45,0.4993,0.5567,0.6204,0.6903,0.7694,0.8417,0.9146,0.9895,1.0646,1.1268,1.1954,1.255,1.312,1.356,1.409,1.4545,1.502,1.5416,1.575,1.6077,1.638,1.6713,1.694,1.7109,1.7394,1.753,1.7774,1.7794,1.7886,1.7959,1.8038,1.813
2u:max+AA,C,4,0.2326,0.2241,0.2333,0.2289,0.2332,0.2362,0.2406,0.2433,0.248,0.2564,0.261,0.2775,0.2898,0.2948,0.3161,0.3234,0.3515,0.3799,0.4175,0.452,0.501,0.5695,0.6327,0.7143,0.795,0.8785,0.9686,1.053,1.1324,1.2028,1.2787,1.3438,1.4049,1.456,1.4938,1.5039,1.5131,1.5183,1.5225,1.5338,1.5384,1.5407,1.5507,1.5522,1.5598,1.5653,1.5765,1.5813,1.5891,1.6036
2u:max+SC,C,5,0.2255,0.2203,0.2222,0.2256,0.2298,0.2346,0.2397,0.2495,0.262,0.2744,0.2804,0.2902,0.3146,0.3306,0.3472,0.3755,0.4129,0.4613,0.5088,0.5681,0.6449,0.724,0.8188,0.9079,1.0007,1.0985,1.197,1.2856,1.3768,1.4472,1.5147,1.5558,1.5681,1.5794,1.5858,1.5897,1.5956,1.6023,1.6057,1.6118,1.617,1.6132,1.6215,1.6322,1.6322,1.6398,1.6398,1.6476,1.6589,1.6643
2u:max+NS,C,6,0.2189,0.2147,0.2327,0.2294,0.2311,0.2368,0.2483,0.2506,0.2485,0.2608,0.2639,0.2722,0.2892,0.3111,0.3218,0.3487,0.3674,0.4014,0.4478,0.4995,0.558,0.6232,0.7071,0.7924,0.8831,0.9795,1.0818,1.1926,1.2848,1.3859,1.4674,1.5507,1.6212,1.6841,1.7563,1.8086,1.8524,1.8937,1.8977,1.9173,1.9187,1.9215,1.9329,1.9416,1.9535,1.9535,1.9596,1.9751,1.9704,1.9783
2u:max+NS,D,1,0.2181,0.2064,0.2151,0.2236,0.2495,0.2555,0.2743,0.2744,0.2864,0.2875,0.2981,0.3101,0.3295,0.353,0.3943,0.4372,0.4925,0.5518,0.6246,0.7063,0.8001,0.8909,0.9888,1.0852,1.1654,1.2479,1.3184,1.3805,1.4372,1.4791,1.5071,1.5049,1.502,1.4996,1.5044,1.5036,1.5014,1.5001,1.5028,1.502,1.5036,1.5022,1.4996,1.5047,1.5028,1.5111,1.5092,1.5101,1.512,1.5161
2u:max+Gluc,D,2,0.2424,0.2221,0.2257,0.2367,0.2381,0.2466,0.2536,0.2607,0.2662,0.2764,0.2909,0.2983,0.3084,0.3325,0.359,0.3861,0.4277,0.4713,0.5212,0.5711,0.6448,0.7088,0.782,0.8608,0.9391,1.014,1.0855,1.1564,1.2137,1.2782,1.3319,1.3865,1.4292,1.4739,1.5012,1.5222,1.5292,1.5375,1.5451,1.5463,1.5522,1.558,1.5598,1.5601,1.5681,1.5712,1.575,1.581,1.5871,1.581
2u:max+YNB,D,3,0.234,0.2289,0.2326,0.2352,0.2394,0.2455,0.2575,0.2604,0.2713,0.2793,0.2899,0.2985,0.3172,0.3265,0.3519,0.3779,0.4087,0.4514,0.4959,0.5529,0.6071,0.6781,0.7481,0.8203,0.8882,0.9609,1.0289,1.0937,1.1545,1.2126,1.2681,1.3191,1.3606,1.4047,1.45,1.485,1.518,1.5601,1.5858,1.6198,1.6373,1.6635,1.6898,1.7122,1.7307,1.738,1.7506,1.7539,1.7573,1.766
2u:max+AA,D,4,0.2137,0.2234,0.2227,0.2247,0.2261,0.2286,0.2332,0.2472,0.2447,0.2588,0.2692,0.2761,0.2952,0.3001,0.3166,0.3356,0.3591,0.3916,0.4268,0.4724,0.5201,0.5817,0.6527,0.7279,0.8067,0.8908,0.9828,1.0623,1.1409,1.2126,1.285,1.3503,1.4088,1.4676,1.518,1.5361,1.5513,1.5564,1.5631,1.5687,1.5747,1.5775,1.582,1.5907,1.5966,1.6026,1.604,1.6166,1.6261,1.6344
2u:max+SC,D,5,0.2196,0.2022,0.2122,0.2221,0.2318,0.2383,0.2468,0.2543,0.2622,0.2624,0.2788,0.2978,0.3164,0.3285,0.3551,0.3805,0.419,0.4656,0.5129,0.573,0.6389,0.7163,0.7932,0.8871,0.979,1.0687,1.1631,1.2551,1.3399,1.4127,1.4799,1.5375,1.5601,1.5728,1.581,1.5842,1.593,1.5937,1.5966,1.6,1.6101,1.6153,1.6208,1.6187,1.6297,1.629,1.6333,1.6362,1.6532,1.6547
2u:max+NS,D,6,0.2153,0.2214,0.2225,0.2312,0.2339,0.2327,0.2418,0.2473,0.2544,0.2711,0.262,0.2741,0.287,0.3069,0.3261,0.3522,0.3859,0.4158,0.4676,0.5161,0.5796,0.6537,0.7236,0.8122,0.8999,0.9956,1.0885,1.1796,1.2654,1.3509,1.4265,1.5001,1.565,1.6215,1.6733,1.724,1.7729,1.7964,1.8207,1.8252,1.8291,1.8412,1.8388,1.8447,1.8482,1.8694,1.8645,1.8682,1.8769,1.8769
